# Map Name|Mode|Add to Maplist|Online rating|Comment
agctf_ag_crossfire|ctf|Yes|4|Большая карта. Две соединённые между собой популярные карты <em>ag_crossfire</em>, онлайн довольно высокий. Особенно она нравится тем, кто любит пострелять из гаусса.
agctf_bootcamp|ctf|No|2|Очень большая карта. Две соединённые между собой стандартные карты <em>boot_camp</em>, которые сами по себе огромные. Для небольшого количества игроков очень плохой выбор.
agctf_duff|ctf|Yes|4|Эта карта есть на сервере, пользуется популярностью.
agctf_echo|ctf|No|2|На этой карте очень плохой онлайн, игроки постоянно уходят с неё. 
agctf_face|ctf|Yes|3|Карта, портированная из Unreal Tournament 1999, очень нравится кемперам-арбалетчикам и новичкам. Онлайн средний.
agctf_forsaken|ctf|No|2|Карта на которой можно троллить игроков пылесосом. Раньше была популярна, сейчас на ней очень плохой онлайн.
agctf_gauntlet|ctf|No|3|Новички играют на этой карте охотно, но онлайн часто бывает низковат.
agctf_infinity|ctf|No|3|Карта есть на сервере, онлайн весьма посредственный.
agctf_innersanctums|ctf|No|2|Карта, портированная из Quake III Arena, с которой все постоянно уходят.
bootbox|dm|No|4|Хорошая Deathmatch карта для тех, кому нравится стрелять из гаусса.
bounce|dm|No|3|Стандартная большая карта, доступная сразу после установки Half-Life.
castle_rush|ctf|No|3|Доступна на сервере <em>CTF 1</em>, особой популярностью не пользуется, но новички на ней охотно играют.
cbble|ctf|Yes|4|Отличная и популярная карта.
cliffside2|dm|No|3|Популярная Deathmatch карта, доступная на многих серверах.
crossbounce|dm|No|3|Красивая Deathmatch карта, к сожалению не помню, был ли доступен на ней когда-либо CTF-режим.
ctf_best_dust|ctf|No|3|Карта, доступная на сервере <em>CTF 1</em>, держит более-менее хороший онлайн.
ctf_desert|ctf|No|2|Большая карта, которая раньше была доступна на <em>CTF 1</em>, по-крайней мере раньше. Онлайн был более-менее, сейчас совсем плохой, да и выбирают её очень редко.
ctf_dust_new|ctf|Yes|4|Возможно карта не присутствует в маплисте сервера <em>CTF 2</em>, только на <em>CTF 1</em>. Хорошая небольшая карта, которую почему-то теперь очень редко выбирают.
